ID: 7664, Имя: devenv, Приоритет: 8, Время запуска: 22.12.2023 22:11:44, Текущее состояние: True, Процессор использовал 00:00:31.0312500 времени
ID: 16224, Имя: PerfWatson2, Приоритет: 8, Время запуска: 22.12.2023 22:11:45, Текущее состояние: True, Процессор использовал 00:00:00.7812500 времени
ID: 14916, Имя: Microsoft.ServiceHub.Controller, Приоритет: 8, Время запуска: 22.12.2023 22:11:45, Текущее состояние: True, Процессор использовал 00:00:01.3125000 времени
ID: 18928, Имя: ServiceHub.VSDetouredHost, Приоритет: 8, Время запуска: 22.12.2023 22:11:45, Текущее состояние: True, Процессор использовал 00:00:02.9531250 времени
ID: 18484, Имя: ServiceHub.RoslynCodeAnalysisService, Приоритет: 8, Время запуска: 22.12.2023 22:11:47, Текущее состояние: True, Процессор использовал 00:00:10.5156250 времени
ID: 5960, Имя: ServiceHub.ThreadedWaitDialog, Приоритет: 8, Время запуска: 22.12.2023 22:11:47, Текущее состояние: True, Процессор использовал 00:00:01.1562500 времени
ID: 24832, Имя: ServiceHub.IdentityHost, Приоритет: 8, Время запуска: 22.12.2023 22:11:49, Текущее состояние: True, Процессор использовал 00:00:02.2812500 времени
ID: 14860, Имя: ServiceHub.IndexingService, Приоритет: 6, Время запуска: 22.12.2023 22:11:50, Текущее состояние: True, Процессор использовал 00:00:02.4687500 времени
ID: 26872, Имя: ServiceHub.Host.AnyCPU, Приоритет: 8, Время запуска: 22.12.2023 22:11:50, Текущее состояние: True, Процессор использовал 00:00:03.2812500 времени
ID: 18624, Имя: vsls-agent, Приоритет: 8, Время запуска: 22.12.2023 22:11:51, Текущее состояние: True, Процессор использовал 00:00:01.1406250 времени
ID: 16772, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 22:11:51, Текущее состояние: True, Процессор использовал 00:00:00 времени
ID: 10976, Имя: ServiceHub.Host.dotnet.x64, Приоритет: 8, Время запуска: 22.12.2023 22:11:52, Текущее состояние: True, Процессор использовал 00:00:00.6406250 времени
ID: 20800, Имя: ServiceHub.IntellicodeModelService, Приоритет: 8, Время запуска: 22.12.2023 22:11:52, Текущее состояние: True, Процессор использовал 00:00:00.9375000 времени
ID: 7620, Имя: ServiceHub.Host.dotnet.x64, Приоритет: 8, Время запуска: 22.12.2023 22:11:52, Текущее состояние: True, Процессор использовал 00:00:02.9843750 времени
ID: 4440, Имя: ServiceHub.TestWindowStoreHost, Приоритет: 8, Время запуска: 22.12.2023 22:11:54, Текущее состояние: True, Процессор использовал 00:00:01.0625000 времени
ID: 26820, Имя: ServiceHub.SettingsHost, Приоритет: 8, Время запуска: 22.12.2023 22:11:55, Текущее состояние: True, Процессор использовал 00:00:01.8750000 времени
ID: 21816, Имя: ServiceHub.Host.netfx.x86, Приоритет: 8, Время запуска: 22.12.2023 22:11:55, Текущее состояние: True, Процессор использовал 00:00:02.3437500 времени
ID: 12852, Имя: WINWORD, Приоритет: 8, Время запуска: 22.12.2023 22:11:56, Текущее состояние: True, Процессор использовал 00:00:03.8437500 времени
ID: 21368, Имя: ai, Приоритет: 8, Время запуска: 22.12.2023 22:11:56, Текущее состояние: True, Процессор использовал 00:00:00.1406250 времени
ID: 21624, Имя: MSBuild, Приоритет: 8, Время запуска: 22.12.2023 22:14:15, Текущее состояние: True, Процессор использовал 00:00:00.7031250 времени
ID: 16088, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 22:14:15, Текущее состояние: True, Процессор использовал 00:00:00.0156250 времени
ID: 4068, Имя: VBCSCompiler, Приоритет: 8, Время запуска: 22.12.2023 22:14:15, Текущее состояние: True, Процессор использовал 00:00:00.4375000 времени
ID: 4808, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 22:14:15, Текущее состояние: True, Процессор использовал 00:00:00.0156250 времени
ID: 16072, Имя: VsDebugConsole, Приоритет: 8, Время запуска: 22.12.2023 22:14:16, Текущее состояние: True, Процессор использовал 00:00:00 времени
ID: 27424, Имя: conhost, Приоритет: 8, Время запуска: 22.12.2023 22:14:16, Текущее состояние: True, Процессор использовал 00:00:00.1250000 времени
ID: 9884, Имя: Lab14, Приоритет: 8, Время запуска: 22.12.2023 22:14:16, Текущее состояние: True, Процессор использовал 00:00:00.1718750 времени
